date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2014-02-21,1957.83 ,0.0141 ,-2733 ,3171 ,-387 ,-532 ,157 ,249 ,20 ,-179 ,-139 ,53 ,-15 ,-35 
2014-02-20,1930.57 ,-0.0064 ,1896 ,-1676 ,-203 ,-188 ,-37 ,-1 ,-36 ,-156 ,357 ,-127 ,-16 ,46 
2014-02-19,1942.93 ,-0.0020 ,1176 ,-519 ,-761 ,-651 ,49 ,-201 ,-4 ,-78 ,65 ,-126 ,186 ,105 
2014-02-18,1946.91 ,0.0003 ,795 ,-471 ,-277 ,6 ,-66 ,64 ,1 ,-135 ,198 ,-289 ,-55 ,-66 
2014-02-17,1946.36 ,0.0031 ,-1322 ,231 ,1074 ,-161 ,137 ,358 ,1 ,-212 ,759 ,247 ,-55 ,11 
2014-02-14,1940.28 ,0.0069 ,-257 ,26 ,187 ,-664 ,116 ,830 ,-20 ,-179 ,377 ,-183 ,-90 ,45 
2014-02-13,1926.96 ,-0.0046 ,923 ,-1076 ,93 ,-503 ,25 ,-113 ,-26 ,-87 ,801 ,-74 ,68 ,61 
2014-02-12,1935.84 ,0.0020 ,-391 ,-53 ,557 ,-237 ,252 ,149 ,9 ,-149 ,673 ,-38 ,-103 ,-96 
2014-02-11,1932.06 ,0.0046 ,-314 ,819 ,-576 ,-445 ,321 ,-877 ,-286 ,-125 ,848 ,-29 ,16 ,82 
2014-02-10,1923.30 ,0.0004 ,238 ,-1411 ,1125 ,-346 ,-82 ,1108 ,-45 ,-110 ,198 ,320 ,83 ,44 
2014-02-07,1922.50 ,0.0077 ,-1324 ,1624 ,-284 ,-416 ,14 ,-318 ,2 ,-16 ,221 ,175 ,52 ,-9 
2014-02-06,1907.89 ,0.0088 ,-682 ,-1144 ,1906 ,-31 ,503 ,760 ,-74 ,40 ,198 ,460 ,50 ,-76 
2014-02-05,1891.32 ,0.0024 ,443 ,-2809 ,2340 ,-367 ,379 ,1530 ,17 ,180 ,116 ,226 ,258 ,6 
2014-02-04,1886.85 ,-0.0172 ,3609 ,-6554 ,2618 ,144 ,-388 ,885 ,2 ,62 ,1562 ,-212 ,563 ,290 
